id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27OIvy3qgE96Fz8foBdLNl,0.668,0.815,8,-9.03,0,0.0399,0.0161,0.599,0.156,0.476,121.975,259672,4
4n5wWTTgnLtb8nVwPWVzgx,0.72,0.764,9,-7.475,0,0.0628,0.00747,0.48,0.0934,0.346,122.999,470282,4
2aJDlirz6v2a4HREki98cP,0.853,0.798,4,-7.995,0,0.068,0.0158,0.948,0.0967,0.42,129.983,269150,4
2WoC4Uo4HrOg7ur0UK8XHZ,0.735,0.795,4,-9.013,1,0.0565,0.000169,0.883,0.0327,0.321,123.006,390292,4
2BIe0r0ghtyoeinWcBgQky,0.645,0.861,9,-11.057,0,0.0508,0.0031,0.771,0.226,0.293,127.99,444151,4
686J1pIBZE2zsnvYc3N0RA,0.622,0.611,10,-11.624,0,0.0437,0.149,0.907,0.0684,0.0685,117.054,274500,4
3Wfs4ir7AMA9od6saZJsxV,0.8,0.703,10,-9.955,0,0.0566,0.117,0.891,0.0833,0.461,122.002,366840,4
70LhYkRsJ4vHpP4KP98F7h,0.624,0.705,9,-12.443,1,0.048,0.0392,0.708,0.0935,0.127,124.003,402762,4
7qfouhnDlP94CvlwYHPtdJ,0.802,0.725,7,-9.389,1,0.048,0.0025,0.841,0.0378,0.382,126.007,554167,4
5CE1vE5jLstQ3shRFnGwS6,0.807,0.647,0,-7.632,0,0.0529,0.12,0.882,0.0689,0.722,126.008,365594,4
1QrxggFof36TcpeREbDAXI,0.751,0.621,7,-9.689,1,0.0482,0.000334,0.608,0.116,0.148,113.997,468816,4
3N6bayIOZpdhUElG1R7TPD,0.768,0.908,7,-6.202,1,0.0404,0.000332,0.676,0.114,0.224,120.005,236000,4
6xj48rju1by58hG6qiLjTw,0.761,0.773,7,-8.465,1,0.0452,0.0037,0.874,0.0571,0.0919,121.008,343000,4
3purp0mi18IzqJHsVNteqU,0.658,0.933,10,-7.584,0,0.0373,0.0112,0.538,0.125,0.119,120.03,204500,4
2kkjKPPIrL1CLyaSlHUxqm,0.781,0.556,8,-9.499,0,0.0357,0.156,0.231,0.11,0.466,117.989,236066,4
0gWvdvWZCvyp06xczy4fex,0.657,0.802,6,-7.969,1,0.0247,0.0166,0.59,0.205,0.578,108.956,246000,4
3jLcuDRpkuJFPwTKQ7YYQ3,0.77,0.648,7,-9.629,1,0.0539,0.097,0.596,0.164,0.386,101.994,404412,4
3kiP7F0evgn8NkGKdNxV6I,0.791,0.698,11,-12.946,0,0.0705,0.0512,0.792,0.0649,0.479,116.0,486319,4
1ZVJSy84kTuvXOsxArecQc,0.752,0.952,0,-7.069,1,0.0407,0.00477,0.858,0.133,0.248,124.003,409482,4
52KCmXTcAK15ysnOgtWi86,0.81,0.756,7,-8.896,1,0.0545,0.00216,0.736,0.094,0.763,121.009,503802,4
4W3WsILUuSjBzQeXC9RntM,0.856,0.559,4,-9.946,1,0.0836,0.00308,0.837,0.0827,0.614,120.008,398000,4
6FUqyOsq1e0VP7CEPtn7uN,0.737,0.762,4,-10.995,0,0.0522,0.00207,0.86,0.0691,0.533,122.997,486681,4
6MdquCVCI0a0Fqfr1Effkx,0.55,0.935,9,-10.39,1,0.0424,0.58,0.899,0.115,0.208,125.982,259524,3
2bK6osWjzw92moaSVeS3AR,0.606,0.804,6,-10.62,0,0.0399,0.000759,0.864,0.115,0.0656,123.022,379452,4
3VRlmICKqjM5TPm4XCBuDg,0.772,0.778,4,-10.534,0,0.0467,0.00148,0.825,0.0607,0.133,121.016,414500,4
0CtgPK2i6oFDLoio0gOX8f,0.816,0.58,9,-13.043,0,0.0551,0.152,0.83,0.0782,0.192,120.005,391616,4
0zqsWIz1egLT8S7lAgivrY,0.784,0.555,1,-11.729,0,0.106,0.011,0.0557,0.111,0.363,121.983,216619,4
5ebmgjX1AIlMPXmAvmxfoH,0.711,0.472,7,-10.52,0,0.0464,0.000243,0.827,0.0838,0.142,125.013,211200,4
2255AAh32aFZQKCzVxMm1F,0.812,0.576,4,-13.364,0,0.0418,0.00186,0.932,0.0732,0.0395,120.993,479154,4
4BsGP1jcNedmNOcIxft8EY,0.463,0.851,7,-7.086,1,0.033,0.00089,0.828,0.593,0.0663,117.998,259936,4
5K2xd60nKoeJWl9pNra12C,0.77,0.783,0,-9.69,0,0.0451,0.0666,0.821,0.314,0.11,120.007,453000,4
0ToZBQHN6wSsJLN8GMRjSX,0.676,0.401,7,-17.939,0,0.0538,0.000191,0.819,0.105,0.29,117.99,375254,4
53zokuN0GHq2ULyDB8Ogdl,0.612,0.717,11,-10.667,1,0.0377,0.238,0.908,0.0843,0.0931,121.019,253884,4
7nIzcRyBg2dXBORQJf8G9e,0.684,0.749,11,-8.463,0,0.0463,0.0266,0.838,0.188,0.249,123.012,224390,4
6o6LRX4HHHGKgH7NuMxw6u,0.688,0.496,7,-15.994,1,0.0519,0.0764,0.894,0.117,0.203,122.971,406000,4
4bGh9ITVoiSTrtLg0h1PQo,0.703,0.732,1,-10.206,1,0.0436,0.000955,0.845,0.234,0.183,123.989,472379,3
1NEjczRZf5jj5pg35SrzL4,0.715,0.674,11,-12.488,1,0.0581,0.0112,0.58,0.038,0.0884,122.002,348197,4
62WD147JqRN0VR396k117e,0.7,0.75,0,-9.165,1,0.0387,0.31,0.847,0.105,0.0491,119.999,276131,3
2HMFDU7PZhlitcaeHSnoMq,0.764,0.468,10,-14.254,0,0.0439,0.405,0.902,0.1,0.257,123.999,255484,3
5v4amtVl8GB1HYw07vAUV6,0.777,0.42,8,-15.7,1,0.0742,0.0691,0.896,0.0913,0.198,122.987,366942,3
36cPVy4BQDwjSEZA0od1P5,0.624,0.705,9,-12.443,1,0.048,0.0392,0.708,0.0935,0.127,124.003,402762,4
6zZ4KgflmdCnctGl4fGXAO,0.741,0.718,10,-7.878,0,0.0378,0.000253,0.248,0.0983,0.374,123.004,478266,4
7ljEuYYn8Ezs42sTrvVdgn,0.61,0.737,8,-8.604,0,0.0296,0.00221,0.0432,0.128,0.0528,124.003,236131,4
2ccq4RrYE3SmTIEnvjXgrJ,0.628,0.704,6,-10.385,1,0.0359,0.308,0.822,0.126,0.128,110.001,375600,4
0nXB7YWrra82OKeTa6PVWq,0.698,0.845,5,-9.19,0,0.0458,0.000284,0.888,0.0872,0.192,123.973,373875,4
54De3Tjp79SY322CKGbosc,0.644,0.826,5,-9.389,0,0.0354,0.0168,0.61,0.0977,0.203,123.012,226342,3
1zzLs9ymc8BUyKgbFKspJ9,0.806,0.823,7,-9.991,0,0.0557,0.0876,0.821,0.0531,0.321,122.014,414120,4
61Jm5EpWvDlp1cLLmdqcXm,0.846,0.427,8,-13.215,1,0.0832,0.0138,0.859,0.0559,0.268,120.014,412389,4
4GNVnm89gmkqO0MiKcszbZ,0.849,0.554,10,-8.5,0,0.141,0.0376,0.84,0.0475,0.73,119.992,396077,4
0gW9YhNYDotXXqWIwA40kE,0.736,0.702,8,-7.283,1,0.0502,0.0012,0.697,0.105,0.682,119.999,404107,4
41UxuFWs5DgsqZRMFPbM6q,0.534,0.807,2,-7.845,1,0.0305,0.00108,0.834,0.0709,0.213,122.017,324772,4
5R2jWNYneOCO7Goqcl4Rvo,0.778,0.508,2,-12.347,1,0.0454,0.157,0.797,0.0782,0.744,120.991,515702,4
4LQ2nICjPIm5bVtkXtnmOP,0.771,0.805,10,-9.614,0,0.0432,0.00172,0.885,0.148,0.579,122.019,570492,4
2YFmK4Y95hxOlTKRSugyOT,0.643,0.83,9,-8.497,0,0.0361,0.00134,0.765,0.125,0.0589,121.014,301984,4
1F4GF3KTt2Dc9K5eJay5RV,0.526,0.809,0,-10.442,1,0.0305,0.00267,0.174,0.113,0.197,122.009,380082,4
6QoVPPIRdkiNCVcCUJOzbI,0.804,0.962,7,-8.818,1,0.0522,7.48e-05,0.864,0.0467,0.576,120.998,492899,4
17IjH1P9ctjuS2Eji1MQLt,0.701,0.891,8,-6.191,0,0.0447,0.00829,0.845,0.104,0.434,121.002,226217,4
01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
4Li2WHPkuyCdtmokzW2007,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4
7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,4
7ycWLEP1GsNjVvcjawXz3z,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4
0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760,4
0VgkVdmE4gld66l8iyGjgx,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
